0.000	0.000	1.000000	0.000000	0.000000	0.000000	
0.050	0.000	0.999000	0.031607	0.358200	0.000000	
0.100	0.000	0.990800	0.095474	0.715000	0.000000	
0.150	0.000	0.974800	0.156732	1.072800	0.000000	
0.200	0.000	0.949600	0.218769	1.384600	0.000000	
0.250	0.000	0.905600	0.292384	1.746200	0.000000	
0.300	0.000	0.842600	0.364177	2.105200	0.000000	
0.350	0.000	0.767800	0.422236	2.470400	0.000000	
0.400	0.000	0.697600	0.459298	2.770800	0.000000	
0.450	0.000	0.592600	0.491350	3.169600	0.000000	
0.500	0.000	0.508800	0.499923	3.494400	0.000000	
0.550	0.000	0.392200	0.488241	3.889800	0.000000	
0.600	0.000	0.302000	0.459125	4.213200	0.000000	
0.650	0.000	0.225800	0.418108	4.561600	0.000000	
0.700	0.000	0.154400	0.361332	4.888600	0.000000	
0.750	0.000	0.091400	0.288177	5.277800	0.000000	
0.800	0.000	0.050400	0.218769	5.592800	0.000000	
0.850	0.000	0.022200	0.147333	5.961600	0.000000	
0.900	0.000	0.007400	0.085704	6.327400	0.000000	
